r : 3 	 pOfError : 0.2 	 pGB : 0.3 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 97.825000
r : 3 	 pOfError : 0.2 	 pGB : 0.3 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 98.450000

r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 84.900000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 90.275000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 91.675000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 93.225000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 93.850000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 96.150000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 96.325000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 97.150000
r : 3 	 pOfError : 0.2 	 pGB : 0.4 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 98.000000

r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 84.950000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 87.725000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 89.250000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 91.825000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 93.150000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 94.200000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 94.750000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 96.375000
r : 3 	 pOfError : 0.2 	 pGB : 0.5 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 97.000000

r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 84.050000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 85.950000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 89.025000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 89.850000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 92.625000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 93.450000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 93.775000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 95.125000
r : 3 	 pOfError : 0.2 	 pGB : 0.6 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 95.775000

r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 83.300000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 85.125000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 89.025000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 89.325000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 91.450000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 92.575000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 93.350000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 95.050000
r : 3 	 pOfError : 0.2 	 pGB : 0.7 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 95.050000

r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 84.125000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 86.125000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 87.825000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 88.975000
